hic_dataset	expr_dataset	nbrTADs	nbrTADsSignif_adjPvalThresh0.01	nbrTADsSignif_adjPvalThresh0.05	nbrGenes	nbrGenesSignif_adjPvalThresh0.01	nbrGenesSignif_adjPvalThresh0.05	ratioAUC_FCC	ratioAUC_coexprDist
ENCSR079VIJ_G401_40kb	TCGAkich_norm_kich	2331	594	1300	13355	8331	9467	1.4747	1.0711
ENCSR079VIJ_G401ENCSR401TBQ_Caki2_40kb	TCGAkich_norm_kich	1774	434	958	10312	6390	7289	1.4535	1.0934
ENCSR312KHQ_SK-MEL-5_40kb	TCGAskcm_wt_mutCTNNB1	2368	1529	2079	13198	91	366	1.4568	1.1516
ENCSR312KHQ_SK-MEL-5_40kb	TCGAskcm_wt_mutBRAF	2368	1544	2115	13198	1365	2832	1.4525	1.1523
ENCSR312KHQ_SK-MEL-5_40kb	TCGAskcm_lowInf_highInf	2369	1225	2007	13193	5743	7338	1.2665	1.1754
ENCSR312KHQ_SK-MEL-5ENCSR862OGI_RPMI-7951_40kb	TCGAskcm_wt_mutCTNNB1	1790	1097	1571	10304	71	274	1.4457	1.1839
ENCSR312KHQ_SK-MEL-5ENCSR862OGI_RPMI-7951_40kb	TCGAskcm_wt_mutBRAF	1790	1150	1548	10304	1077	2187	1.4185	1.1857
ENCSR312KHQ_SK-MEL-5ENCSR862OGI_RPMI-7951_40kb	TCGAskcm_lowInf_highInf	1794	929	1485	10285	4419	5675	1.2464	1.1956
ENCSR346DCU_LNCaP_40kb	TCGAprad_norm_prad	2244	535	1278	13768	7949	9148	1.2995	1.0641
ENCSR346DCU_LNCaPGSE73782_PC3_40kb	TCGAprad_norm_prad	1338	297	765	8523	4941	5684	1.2738	1.2032
ENCSR346DCU_LNCaPGSE73782_PC3_ICE_40kb	TCGAprad_norm_prad	1295	270	735	8103	4667	5394	1.2657	1.267
ENCSR401TBQ_Caki2_40kb	TCGAkich_norm_kich	2318	578	1276	13705	8529	9703	1.4543	1.0874
ENCSR444WCZ_A549_40kb	TCGAluad_mutKRAS_mutEGFR	2428	1462	2048	14008	2454	4060	1.4858	1.1043
ENCSR444WCZ_A549_40kb	TCGAluad_nonsmoker_smoker	2422	1314	1992	14003	27	237	1.4247	1.1098
ENCSR444WCZ_A549_40kb	TCGAluad_wt_mutKRAS	2437	1627	2152	14107	1131	2441	1.4126	1.1112
ENCSR444WCZ_A549_40kb	TCGAlusc_norm_lusc	2459	1268	2015	14175	10501	11350	1.2672	1.12
ENCSR444WCZ_A549NCI-H460_40kb	TCGAluad_mutKRAS_mutEGFR	1759	1068	1495	10278	1782	3004	1.4555	1.1753
ENCSR444WCZ_A549NCI-H460_40kb	TCGAluad_nonsmoker_smoker	1760	941	1459	10304	21	168	1.4085	1.1751
ENCSR444WCZ_A549NCI-H460_40kb	TCGAluad_wt_mutKRAS	1766	1185	1569	10368	831	1782	1.4052	1.174
ENCSR444WCZ_A549NCI-H460_40kb	TCGAlusc_norm_lusc	1789	899	1467	10567	7843	8465	1.2452	1.165
ENCSR549MGQ_T47D_40kb	TCGAbrca_lum_bas	2379	1334	1967	13630	10449	11191	1.3949	1.1241
ENCSR862OGI_RPMI-7951_40kb	TCGAskcm_wt_mutCTNNB1	2340	1497	2044	13785	105	400	1.4604	1.1911
ENCSR862OGI_RPMI-7951_40kb	TCGAskcm_wt_mutBRAF	2340	1539	2044	13785	1432	2970	1.4434	1.1926
ENCSR862OGI_RPMI-7951_40kb	TCGAskcm_lowInf_highInf	2338	1251	1947	13684	5861	7522	1.2502	1.2002
GSE105194_cerebellum_40kb	TCGAgbm_classical_mesenchymal	2347	891	1604	12885	2897	4523	1.4068	1.1798
GSE105194_cerebellum_40kb	TCGAgbm_classical_proneural	2354	863	1562	12913	1891	3150	1.3074	1.1791
GSE105194_cerebellum_40kb	TCGAgbm_classical_neural	2348	436	1116	12911	2347	4226	1.2933	1.1722
GSE105194_cerebellum_40kb	TCGAlgg_IDHwt_IDHmutnc	2368	675	1368	13042	7764	8816	1.2591	1.1546
GSE105194_spinal_cord_40kb	TCGAgbm_classical_mesenchymal	2310	894	1601	13405	2998	4697	1.3977	1.1669
GSE105194_spinal_cord_40kb	TCGAgbm_classical_proneural	2324	881	1538	13487	2004	3331	1.3265	1.1608
GSE105194_spinal_cord_40kb	TCGAlgg_IDHwt_IDHmutnc	2343	715	1400	13594	8136	9231	1.2791	1.1527
GSE105194_spinal_cord_40kb	TCGAgbm_classical_neural	2319	448	1136	13446	2438	4395	1.2721	1.1919
GSE105194_spinal_cordGSE105194_cerebellum_40kb	TCGAgbm_classical_mesenchymal	1989	761	1351	11268	2498	3898	1.3871	1.2015
GSE105194_spinal_cordGSE105194_cerebellum_40kb	TCGAgbm_classical_proneural	1999	731	1324	11295	1669	2772	1.2975	1.1801
GSE105194_spinal_cordGSE105194_cerebellum_40kb	TCGAgbm_classical_neural	1995	357	937	11298	2044	3680	1.2588	1.2129
GSE105194_spinal_cordGSE105194_cerebellum_40kb	TCGAlgg_IDHwt_IDHmutnc	2015	574	1182	11393	6844	7778	1.2444	1.1489
GSE105318_DLD1_40kb	TCGAcoad_msi_mss	2330	454	1183	13087	1866	3209	1.2749	1.2113
GSE105381_HepG2_40kb	TCGAlihc_wt_mutCTNNB1	2294	1096	1807	11961	4311	5747	1.2961	1.2473
GSE73782_PC3_40kb	TCGAprad_norm_prad	2109	539	1250	13799	7946	9160	1.2899	1.1898
GSE73782_PC3_ICE_40kb	TCGAprad_norm_prad	2139	521	1222	13485	7784	8969	1.2924	1.1992
K562_40kb	TCGAlaml_wt_mutFLT3	2319	794	1472	12493	117	625	1.2854	1.1215
MCF-7_40kb	TCGAbrca_lum_bas	1887	1130	1624	14060	10776	11546	1.4375	1.14
MCF-7ENCSR549MGQ_T47D_40kb	TCGAbrca_lum_bas	1200	631	997	7269	5582	5987	1.372	1.2456
NCI-H460_40kb	TCGAluad_mutKRAS_mutEGFR	2281	1449	1944	13907	2453	4038	1.497	1.107
NCI-H460_40kb	TCGAluad_wt_mutKRAS	2291	1580	2049	14024	1146	2427	1.4137	1.1236
NCI-H460_40kb	TCGAluad_nonsmoker_smoker	2278	1286	1890	13911	29	233	1.4101	1.1168
NCI-H460_40kb	TCGAlusc_norm_lusc	2306	1270	1938	14108	10455	11296	1.2678	1.1394
Panc1_rep12_40kb	TCGApaad_wt_mutKRAS	2346	825	1658	13822	2956	4628	1.2774	1.0144
